design_id,pae_6WRV_positive,pae_TfR2_negative,pae_1SUV_Tf_competition,iptm_6WRV_positive,iptm_TfR2_negative,iptm_1SUV_Tf_competition,pass_positive,pass_tfr2_selectivity,pass_tf_competition,pass_stage7_3
tfr1_l67_s461825_mpnn10,30.00,27.18,30.87,0.1600,0.1300,0.1500,False,True,False,False
tfr1_l67_s461825_mpnn11,29.88,27.14,30.85,0.1700,0.1300,0.1500,False,True,False,False
tfr1_l67_s461825_mpnn7,29.18,27.27,30.79,0.1800,0.1300,0.1500,False,True,False,False
tfr1_l67_s461825_mpnn8,29.92,26.89,30.84,0.1700,0.1300,0.1500,False,True,False,False
tfr1_l67_s877802_mpnn10,29.31,27.43,30.82,0.1800,0.1100,0.1500,False,True,False,False
tfr1_l67_s877802_mpnn14,29.77,27.01,30.77,0.1700,0.1300,0.1500,False,True,False,False
tfr1_l67_s877802_mpnn15,29.60,27.08,30.81,0.1700,0.1400,0.1500,False,True,False,False
tfr1_l67_s877802_mpnn16,30.11,27.25,30.78,0.1600,0.1400,0.1500,False,True,False,False
tfr1_l67_s877802_mpnn17,30.03,27.25,30.75,0.1600,0.1300,0.1500,False,True,False,False
tfr1_l67_s877802_mpnn2,29.40,27.23,30.82,0.1800,0.1300,0.1500,False,True,False,False
tfr1_l67_s877802_mpnn3,29.92,27.09,30.85,0.1600,0.1200,0.1500,False,True,False,False
tfr1_l67_s877802_mpnn4,29.70,27.25,30.87,0.1700,0.1200,0.1500,False,True,False,False
tfr1_l67_s877802_mpnn5,29.41,27.57,30.81,0.1800,0.1000,0.1500,False,True,False,False
tfr1_l67_s877802_mpnn6,30.17,27.43,30.85,0.1600,0.1000,0.1500,False,True,False,False
tfr1_l67_s877802_mpnn7,29.54,27.03,30.76,0.1800,0.1300,0.1500,False,True,False,False
tfr1_l67_s877802_mpnn9,29.72,27.62,30.86,0.1700,0.1000,0.1500,False,True,False,False
tfr1_l67_s963109_mpnn14,29.82,27.33,30.93,0.1700,0.1400,0.1500,False,True,False,False
tfr1_l67_s963109_mpnn2,30.15,28.05,30.93,0.1700,0.0900,0.1500,False,True,False,False
tfr1_l67_s963109_mpnn3,30.16,27.86,30.91,0.1700,0.1500,0.1500,False,True,False,False
tfr1_l67_s963109_mpnn9,29.70,28.09,30.94,0.1700,0.1000,0.1500,False,True,False,False
tfr1_l68_s169691_mpnn18,30.24,28.50,30.85,0.1600,0.0900,0.1500,False,True,False,False
tfr1_l69_s127792_mpnn20,30.21,26.77,30.84,0.1600,0.2400,0.1500,False,True,False,False
tfr1_l69_s271540_mpnn15,30.62,27.99,31.10,0.1500,0.1400,0.1500,False,True,False,False
tfr1_l69_s271540_mpnn6,30.22,28.17,31.03,0.1600,0.1200,0.1500,False,True,False,False
tfr1_l69_s32630_mpnn1,30.07,27.26,30.74,0.1700,0.1100,0.1500,False,True,False,False
tfr1_l69_s32630_mpnn16,30.27,26.85,30.85,0.1700,0.2700,0.1500,False,True,False,False
tfr1_l69_s32630_mpnn6,30.40,27.34,30.75,0.1600,0.1000,0.1500,False,True,False,False
tfr1_l69_s32630_mpnn7,29.80,26.95,30.76,0.1700,0.1900,0.1500,False,True,False,False
tfr1_l69_s653028_mpnn1,30.55,27.07,30.58,0.1500,0.1000,0.1600,False,True,False,False
tfr1_l69_s653028_mpnn10,30.12,26.88,30.61,0.1600,0.1100,0.1600,False,True,False,False
tfr1_l69_s653028_mpnn11,30.24,26.74,30.58,0.1600,0.1100,0.1600,False,True,False,False
tfr1_l69_s653028_mpnn13,30.13,26.53,30.51,0.1700,0.1400,0.1600,False,True,False,False
tfr1_l69_s653028_mpnn16,30.01,27.07,30.66,0.1600,0.1000,0.1500,False,True,False,False
tfr1_l69_s653028_mpnn18,29.93,26.93,30.61,0.1600,0.1100,0.1600,False,True,False,False
tfr1_l69_s653028_mpnn19,30.46,26.90,30.60,0.1600,0.1100,0.1600,False,True,False,False
tfr1_l69_s653028_mpnn2,30.37,27.08,30.63,0.1600,0.1000,0.1600,False,True,False,False
tfr1_l69_s653028_mpnn20,30.51,26.86,30.63,0.1500,0.1100,0.1600,False,True,False,False
tfr1_l69_s653028_mpnn4,30.46,27.06,30.65,0.1600,0.1000,0.1500,False,True,False,False
tfr1_l69_s653028_mpnn9,29.94,27.10,30.67,0.1600,0.1000,0.1500,False,True,False,False
tfr1_l70_s148793_mpnn4,31.02,27.63,31.17,0.1400,0.1000,0.1500,False,True,False,False
tfr1_l70_s657560_mpnn12,30.95,27.98,31.08,0.1500,0.2000,0.1500,False,True,False,False
tfr1_l70_s657560_mpnn14,30.89,27.47,31.01,0.1500,0.2300,0.1500,False,True,False,False
tfr1_l70_s657560_mpnn17,30.92,28.55,31.09,0.1500,0.1300,0.1500,False,True,False,False
tfr1_l70_s657560_mpnn5,30.87,27.71,31.03,0.1500,0.1800,0.1500,False,True,False,False
tfr1_l70_s7052_mpnn12,30.84,27.75,30.86,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l70_s7052_mpnn5,30.85,27.60,31.00,0.1500,0.1300,0.1500,False,True,False,False
tfr1_l70_s877689_mpnn13,30.83,27.05,30.85,0.1500,0.1100,0.1500,False,True,False,False
tfr1_l70_s942570_mpnn13,30.78,27.76,30.89,0.1500,0.1200,0.1500,False,True,False,False
tfr1_l70_s942570_mpnn2,30.72,27.80,30.79,0.1500,0.1200,0.1500,False,True,False,False
tfr1_l70_s942570_mpnn8,30.72,27.85,30.76,0.1500,0.1200,0.1500,False,True,False,False
tfr1_l70_s942570_mpnn9,30.78,27.73,30.78,0.1500,0.1300,0.1500,False,True,False,False
